State,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
United States,80610,77540,79260,79560,81210,75790,74810,73520,71000,67360,66770,65740,65750,66730,68340,68780,71210,70080,69310,68250,68350,68310,68870,70020
Alabama,60660,62290,63750,63980,66430,59900,62250,58800,55920,53070,55004,56010,55940,55440,54890,60810,59840,55180,55580,56390,58790,60570,57340,59070
Alaska,98190,93310,90850,87440,92670,82450,95440,94290,94360,84900,82257,82020,75440,78340,84570,87500,89290,82020,83620,84760,81790,85010,93550,88130
Arizona,82660,76370,79310,78480,83540,74710,73060,71100,65640,61830,65211,60620,63860,63510,62790,64150,66930,67830,67690,67500,64960,64000,69640,66340
Arkansas,63250,56120,56870,59400,64470,59720,60880,57170,53770,56390,50616,50280,54250,52260,50160,54130,57830,53880,54840,53850,50500,52170,54370,49520
California,89870,88690,91350,90840,92330,84560,85710,82980,79940,75930,74513,73480,70100,73520,77070,77960,79000,80430,77430,75770,77790,76410,77080,78070
Colorado,96640,93510,95130,98010,85700,87610,91760,87870,83660,76500,82452,73780,77010,81570,76790,83330,86670,80970,75470,78330,78800,77790,80560,80450
Connecticut,92240,94340,90660,92930,103200,87340,90930,94540,91570,88080,86888,82790,85920,89380,89030,88440,90920,90730,85030,84820,86730,86000,87000,83670
Delaware,86340,83960,76920,81920,87700,77990,79500,72280,72560,72210,67219,63110,71800,74780,71550,69330,77380,76240,76650,73970,77350,79980,80890,83990
District of Columbia,111000,105700,101500,103200,110100,102900,99470,88390,88030,85710,77008,84080,72570,77100,72960,76010,71980,70480,67310,66890,71080,62930,67140,68740
Florida,72200,67960,66890,67570,69000,65550,64960,63730,61340,57920,61221,59370,59250,59680,62650,61340,64910,66410,64310,62400,61490,61250,59400,64800
Georgia,72420,70420,68860,69330,66940,66960,70960,66650,63780,62210,60226,62010,60390,59750,59500,63210,68950,71740,68710,63090,66960,69170,69440,69880
Hawaii,97360,94620,92050,94560,104000,96100,90070,89820,81050,89410,79282,72500,77560,80630,76400,84120,90750,87910,89140,86580,81790,76200,77370,85960
Idaho,73910,75460,86130,78060,78000,70450,72810,70440,64850,67080,64624,61750,62340,63720,64220,64840,69720,67190,66090,68280,66860,60750,62370,62720
Illinois,87820,81120,88750,86960,87950,84140,80730,76440,75900,68940,71550,66670,66510,68700,72580,72820,74430,70760,72410,70930,71250,68800,75300,76820
Indiana,76910,72810,78600,78150,78840,71850,71920,69850,65310,60330,63934,59480,58380,62490,60830,63610,67260,66010,63490,65160,66940,66120,65850,68150
Iowa,80860,79350,81110,80510,78080,82430,77670,73590,76450,72570,71906,68870,65960,66380,69630,68560,69330,69970,69570,66790,65300,66120,66830,68360
Kansas,84830,75950,85080,85500,86470,76700,69630,70740,68930,67090,64120,64440,60610,62370,61390,65470,68740,66230,62870,63220,69790,68650,67540,68470
Kentucky,61980,58090,62290,66400,65800,65440,60790,56500,53250,53710,54739,52940,52350,55670,58570,56260,55920,57410,54900,54820,58280,59220,62690,60480
Louisiana,57650,60640,64060,59880,61120,59950,53310,52540,57690,53230,53101,50370,53400,53220,62370,54100,58560,53050,55710,56080,52870,54780,54340,51230
Maine,75740,78150,79660,74510,78660,70370,65240,63330,63760,64910,65696,63350,65270,64910,65210,64580,67890,66360,65710,63620,58560,59360,59710,62150
Maryland,102000,112500,109000,110900,113000,103400,100500,91850,92450,95610,84685,92570,90470,86950,88120,87120,93030,92560,90530,87900,82550,90860,87300,90950
