"Veteran Suicides by State of Death, 2001-2021",,,
"Year
of
Death","Geographic
Region",State of Death,"Veteran
Suicides"
2001,Northeastern,Connecticut,45
2001,Northeastern,Maine,38
2001,Northeastern,Massachusetts,82
2001,Northeastern,New Hampshire,27
2001,Northeastern,New Jersey,93
2001,Northeastern,New York,169
2001,Northeastern,Pennsylvania,270
2001,Northeastern,Rhode Island,17
2001,Northeastern,Vermont,21
2001,Midwestern,Illinois,205
2001,Midwestern,Indiana,140
2001,Midwestern,Iowa,73
2001,Midwestern,Kansas,63
2001,Midwestern,Michigan,181
2001,Midwestern,Minnesota,97
2001,Midwestern,Missouri,146
2001,Midwestern,Nebraska,36
2001,Midwestern,North Dakota,23
2001,Midwestern,Ohio,286
2001,Midwestern,South Dakota,27
2001,Midwestern,Wisconsin,115
2001,Southern,Alabama,104
2001,Southern,Arkansas,74
2001,Southern,Delaware,22
2001,Southern,District of Columbia,<10
2001,Southern,Florida,520
2001,Southern,Georgia,154
2001,Southern,Kentucky,74
2001,Southern,Louisiana,102
2001,Southern,Maryland,79
2001,Southern,Mississippi,63
2001,Southern,North Carolina,184
2001,Southern,Oklahoma,107
2001,Southern,South Carolina,94
2001,Southern,Tennessee,150
2001,Southern,Texas,420
2001,Southern,Virginia,158
2001,Southern,West Virginia,68
2001,Western,Alaska,15
2001,Western,Arizona,166
2001,Western,California,475
2001,Western,Colorado,143
2001,Western,Hawaii,31
2001,Western,Idaho,36
2001,Western,Montana,43
2001,Western,Nevada,115
2001,Western,New Mexico,77
2001,Western,Oregon,128
2001,Western,Utah,57
2001,Western,Washington,162
2001,Western,Wyoming,19
2001,All,U.S. Total,"6,000"
2002,Northeastern,Connecticut,45
2002,Northeastern,Maine,38
2002,Northeastern,Massachusetts,84
2002,Northeastern,New Hampshire,28
2002,Northeastern,New Jersey,87
2002,Northeastern,New York,139
2002,Northeastern,Pennsylvania,263
2002,Northeastern,Rhode Island,13
2002,Northeastern,Vermont,14
2002,Midwestern,Illinois,217
2002,Midwestern,Indiana,150
2002,Midwestern,Iowa,57
2002,Midwestern,Kansas,77
2002,Midwestern,Michigan,198
2002,Midwestern,Minnesota,98
2002,Midwestern,Missouri,170
2002,Midwestern,Nebraska,38
2002,Midwestern,North Dakota,21
2002,Midwestern,Ohio,271
2002,Midwestern,South Dakota,25
2002,Midwestern,Wisconsin,119
2002,Southern,Alabama,99
2002,Southern,Arkansas,74
2002,Southern,Delaware,12
2002,Southern,District of Columbia,<10
2002,Southern,Florida,497
2002,Southern,Georgia,182
2002,Southern,Kentucky,99
2002,Southern,Louisiana,101
2002,Southern,Maryland,89
2002,Southern,Mississippi,77
2002,Southern,North Carolina,183
2002,Southern,Oklahoma,96
2002,Southern,South Carolina,90
2002,Southern,Tennessee,160
2002,Southern,Texas,429
2002,Southern,Virginia,182
2002,Southern,West Virginia,59
2002,Western,Alaska,24
2002,Western,Arizona,202
2002,Western,California,515
2002,Western,Colorado,160
2002,Western,Hawaii,21
2002,Western,Idaho,44
2002,Western,Montana,36
2002,Western,Nevada,107
2002,Western,New Mexico,78
2002,Western,Oregon,132
2002,Western,Utah,51
2002,Western,Washington,164
2002,Western,Wyoming,23
2002,All,U.S. Total,"6,142"
2003,Northeastern,Connecticut,49
2003,Northeastern,Maine,33
2003,Northeastern,Massachusetts,72
2003,Northeastern,New Hampshire,40
2003,Northeastern,New Jersey,80
2003,Northeastern,New York,189
2003,Northeastern,Pennsylvania,275
2003,Northeastern,Rhode Island,19
2003,Northeastern,Vermont,13
2003,Midwestern,Illinois,170
2003,Midwestern,Indiana,137
2003,Midwestern,Iowa,76
2003,Midwestern,Kansas,67
2003,Midwestern,Michigan,180
2003,Midwestern,Minnesota,93
2003,Midwestern,Missouri,153
2003,Midwestern,Nebraska,29
2003,Midwestern,North Dakota,17
2003,Midwestern,Ohio,218
2003,Midwestern,South Dakota,22
2003,Midwestern,Wisconsin,136
2003,Southern,Alabama,113
2003,Southern,Arkansas,88
2003,Southern,Delaware,20
2003,Southern,District of Columbia,<10
2003,Southern,Florida,493
2003,Southern,Georgia,189
2003,Southern,Kentucky,102
2003,Southern,Louisiana,77
2003,Southern,Maryland,89
2003,Southern,Mississippi,78
2003,Southern,North Carolina,177
2003,Southern,Oklahoma,94
2003,Southern,South Carolina,110
2003,Southern,Tennessee,139
2003,Southern,Texas,443
2003,Southern,Virginia,146
2003,Southern,West Virginia,64
2003,Western,Alaska,26
2003,Western,Arizona,156
2003,Western,California,519
2003,Western,Colorado,151
2003,Western,Hawaii,20
2003,Western,Idaho,50
2003,Western,Montana,45
2003,Western,Nevada,110
2003,Western,New Mexico,59
2003,Western,Oregon,142
2003,Western,Utah,56
2003,Western,Washington,153
2003,Western,Wyoming,27
2003,All,U.S. Total,"6,008"
2004,Northeastern,Connecticut,43
2004,Northeastern,Maine,29
2004,Northeastern,Massachusetts,69
2004,Northeastern,New Hampshire,28
2004,Northeastern,New Jersey,97
2004,Northeastern,New York,180
2004,Northeastern,Pennsylvania,249
2004,Northeastern,Rhode Island,16
2004,Northeastern,Vermont,20
2004,Midwestern,Illinois,164
2004,Midwestern,Indiana,133
2004,Midwestern,Iowa,57
2004,Midwestern,Kansas,67
2004,Midwestern,Michigan,203
2004,Midwestern,Minnesota,108
2004,Midwestern,Missouri,144
2004,Midwestern,Nebraska,32
2004,Midwestern,North Dakota,14
2004,Midwestern,Ohio,226
2004,Midwestern,South Dakota,22
2004,Midwestern,Wisconsin,97
2004,Southern,Alabama,112
2004,Southern,Arkansas,90
2004,Southern,Delaware,15
2004,Southern,District of Columbia,<10
2004,Southern,Florida,482
2004,Southern,Georgia,187
2004,Southern,Kentucky,116
2004,Southern,Louisiana,108
2004,Southern,Maryland,97
2004,Southern,Mississippi,77
2004,Southern,North Carolina,192
2004,Southern,Oklahoma,110
2004,Southern,South Carolina,98
2004,Southern,Tennessee,155
2004,Southern,Texas,440
2004,Southern,Virginia,160
2004,Southern,West Virginia,71
2004,Western,Alaska,20
2004,Western,Arizona,168
2004,Western,California,507
2004,Western,Colorado,161
2004,Western,Hawaii,17
2004,Western,Idaho,35
2004,Western,Montana,38
2004,Western,Nevada,112
2004,Western,New Mexico,66
2004,Western,Oregon,131
2004,Western,Utah,54
2004,Western,Washington,161
2004,Western,Wyoming,24
2004,All,U.S. Total,"6,004"
2005,Northeastern,Connecticut,49
2005,Northeastern,Maine,46
2005,Northeastern,Massachusetts,67
2005,Northeastern,New Hampshire,33
2005,Northeastern,New Jersey,65
2005,Northeastern,New York,166
2005,Northeastern,Pennsylvania,287
2005,Northeastern,Rhode Island,13
2005,Northeastern,Vermont,14
2005,Midwestern,Illinois,203
2005,Midwestern,Indiana,153
2005,Midwestern,Iowa,64
2005,Midwestern,Kansas,70
2005,Midwestern,Michigan,196
2005,Midwestern,Minnesota,94
2005,Midwestern,Missouri,160
2005,Midwestern,Nebraska,35
2005,Midwestern,North Dakota,19
2005,Midwestern,Ohio,295
2005,Midwestern,South Dakota,32
