Year,Year Code,State,State Code,Five-Year Age Groups,Five-Year Age Groups Code,Deaths,Population,Crude Rate
2000,2000,Alabama,01,15-19 years,15-19,25,324580,7.7
2000,2000,Alabama,01,20-24 years,20-24,44,306865,14.3
2000,2000,Alabama,01,25-29 years,25-29,49,301196,16.3
2000,2000,Alabama,01,30-34 years,30-34,51,301819,16.9
2000,2000,Alabama,01,35-39 years,35-39,70,340300,20.6
2000,2000,Alabama,01,40-44 years,40-44,72,345212,20.9
2000,2000,Alabama,01,45-49 years,45-49,46,315173,14.6
2000,2000,Alabama,01,50-54 years,50-54,46,285036,16.1
2000,2000,Alabama,01,55-59 years,55-59,34,225450,15.1
2000,2000,Alabama,01,60-64 years ,60-64,35,190082,18.4
2000,2000,Alabama,01,65-69 years,65-69,19,167968,Unreliable
2000,2000,Alabama,01,70-74 years,70-74,31,148780,20.8
2000,2000,Alabama,01,75-79 years,75-79,31,118108,26.2
2000,2000,Alabama,01,80-84 years,80-84,16,77641,Unreliable
2000,2000,Alabama,01,85-89 years,85-89,11,Not Applicable,Not Applicable
2000,2000,Alaska,02,15-19 years,15-19,26,50094,51.9
2000,2000,Alaska,02,20-24 years,20-24,23,39892,57.7
2000,2000,Alaska,02,25-29 years,25-29,15,42987,Unreliable
2000,2000,Alaska,02,35-39 years,35-39,11,55723,Unreliable
2000,2000,Alaska,02,40-44 years,40-44,21,58326,36
2000,2000,Alaska,02,50-54 years,50-54,11,41437,Unreliable
2000,2000,Arizona,04,15-19 years,15-19,45,367722,12.2
2000,2000,Arizona,04,20-24 years,20-24,84,362860,23.1
2000,2000,Arizona,04,25-29 years,25-29,54,374106,14.4
2000,2000,Arizona,04,30-34 years,30-34,65,368559,17.6
2000,2000,Arizona,04,35-39 years,35-39,72,392687,18.3
2000,2000,Arizona,04,40-44 years,40-44,94,376117,25
2000,2000,Arizona,04,45-49 years,45-49,71,331903,21.4
2000,2000,Arizona,04,50-54 years,50-54,71,296001,24
2000,2000,Arizona,04,55-59 years,55-59,43,238675,18
2000,2000,Arizona,04,60-64 years ,60-64,22,203697,10.8
2000,2000,Arizona,04,65-69 years,65-69,35,189007,18.5
2000,2000,Arizona,04,70-74 years,70-74,40,174834,22.9
2000,2000,Arizona,04,75-79 years,75-79,34,144201,23.6
2000,2000,Arizona,04,80-84 years,80-84,29,91272,31.8
2000,2000,Arizona,04,85-89 years,85-89,21,Not Applicable,Not Applicable
2000,2000,Arkansas,05,15-19 years,15-19,15,198765,Unreliable
2000,2000,Arkansas,05,20-24 years,20-24,32,181598,17.6
2000,2000,Arkansas,05,25-29 years,25-29,37,176674,20.9
2000,2000,Arkansas,05,30-34 years,30-34,30,176171,17
2000,2000,Arkansas,05,35-39 years,35-39,31,200340,15.5
2000,2000,Arkansas,05,40-44 years,40-44,41,197787,20.7
2000,2000,Arkansas,05,45-49 years,45-49,27,181913,14.8
2000,2000,Arkansas,05,50-54 years,50-54,18,167606,Unreliable
2000,2000,Arkansas,05,55-59 years,55-59,18,139393,Unreliable
2000,2000,Arkansas,05,60-64 years ,60-64,13,117390,Unreliable
2000,2000,Arkansas,05,65-69 years,65-69,15,105175,Unreliable
2000,2000,Arkansas,05,70-74 years,70-74,22,93159,23.6
2000,2000,Arkansas,05,75-79 years,75-79,18,76517,Unreliable
2000,2000,Arkansas,05,80-84 years,80-84,13,52676,Unreliable
2000,2000,Arkansas,05,85-89 years,85-89,11,Not Applicable,Not Applicable
2000,2000,California,06,10-14 years,14-Oct,22,2570822,0.9
2000,2000,California,06,15-19 years,15-19,129,2450888,5.3
2000,2000,California,06,20-24 years,20-24,197,2381288,8.3
2000,2000,California,06,25-29 years,25-29,240,2543541,9.4
2000,2000,California,06,30-34 years,30-34,248,2685521,9.2
2000,2000,California,06,35-39 years,35-39,279,2814743,9.9
2000,2000,California,06,40-44 years,40-44,345,2670598,12.9
2000,2000,California,06,45-49 years,45-49,288,2331792,12.4
2000,2000,California,06,50-54 years,50-54,267,1999843,13.4
2000,2000,California,06,55-59 years,55-59,188,1467252,12.8
2000,2000,California,06,60-64 years ,60-64,135,1146841,11.8
2000,2000,California,06,65-69 years,65-69,117,984535,11.9
2000,2000,California,06,70-74 years,70-74,139,903288,15.4
2000,2000,California,06,75-79 years,75-79,162,779347,20.8
2000,2000,California,06,80-84 years,80-84,153,502831,30.4
2000,2000,California,06,85-89 years,85-89,75,Not Applicable,Not Applicable
2000,2000,California,06,90-94 years,90-94,23,Not Applicable,Not Applicable
2000,2000,Colorado,08,15-19 years,15-19,40,307238,13
2000,2000,Colorado,08,20-24 years,20-24,48,306238,15.7
2000,2000,Colorado,08,25-29 years,25-29,56,331795,16.9
2000,2000,Colorado,08,30-34 years,30-34,58,332232,17.5
2000,2000,Colorado,08,35-39 years,35-39,57,366092,15.6
