Year,Year Code,State,State Code,Deaths,Population,Crude Rate
2000,2000,Alabama,01,591,4447100,13.3
2000,2000,Alaska,02,137,626932,21.9
2000,2000,Arizona,04,793,5130632,15.5
2000,2000,Arkansas,05,353,2673400,13.2
2000,2000,California,06,3014,33871648,8.9
2000,2000,Colorado,08,621,4301261,14.4
2000,2000,Connecticut,09,314,3405565,9.2
2000,2000,Delaware,10,82,783600,10.5
2000,2000,District of Columbia,11,27,572059,4.7
2000,2000,Florida,12,2119,15982378,13.3
2000,2000,Georgia,13,871,8186453,10.6
2000,2000,Hawaii,15,137,1211537,11.3
2000,2000,Idaho,16,168,1293953,13
2000,2000,Illinois,17,1028,12419293,8.3
2000,2000,Indiana,18,701,6080485,11.5
2000,2000,Iowa,19,294,2926324,10
2000,2000,Kansas,20,328,2688418,12.2
2000,2000,Kentucky,21,527,4041769,13
2000,2000,Louisiana,22,479,4468976,10.7
2000,2000,Maine,23,155,1274923,12.2
2000,2000,Maryland,24,487,5296486,9.2
2000,2000,Massachusetts,25,390,6349097,6.1
2000,2000,Michigan,26,995,9938444,10
2000,2000,Minnesota,27,446,4919479,9.1
2000,2000,Mississippi,28,302,2844658,10.6
2000,2000,Missouri,29,712,5595211,12.7
2000,2000,Montana,30,158,902195,17.5
2000,2000,Nebraska,31,193,1711263,11.3
2000,2000,Nevada,32,406,1998257,20.3
2000,2000,New Hampshire,33,136,1235786,11
2000,2000,New Jersey,34,569,8414350,6.8
2000,2000,New Mexico,35,328,1819046,18
2000,2000,New York,36,1149,18976457,6.1
2000,2000,North Carolina,37,981,8049313,12.2
2000,2000,North Dakota,38,69,642200,10.7
2000,2000,Ohio,39,1109,11353140,9.8
2000,2000,Oklahoma,40,504,3450654,14.6
2000,2000,Oregon,41,501,3421399,14.6
2000,2000,Pennsylvania,42,1382,12281054,11.3
2000,2000,Rhode Island,44,77,1048319,7.3
2000,2000,South Carolina,45,448,4012012,11.2
2000,2000,South Dakota,46,95,754844,12.6
2000,2000,Tennessee,47,739,5689283,13
2000,2000,Texas,48,2101,20851820,10.1
2000,2000,Utah,49,299,2233169,13.4
2000,2000,Vermont,50,78,608827,12.8
2000,2000,Virginia,51,773,7078515,10.9
2000,2000,Washington,53,734,5894121,12.5
2000,2000,West Virginia,54,247,1808344,13.7
2000,2000,Wisconsin,55,604,5363675,11.3
2000,2000,Wyoming,56,85,493782,17.2
2001,2001,Alabama,01,519,4467634,11.6
2001,2001,Alaska,02,103,633714,16.3
2001,2001,Arizona,04,777,5273477,14.7
2001,2001,Arkansas,05,387,2691571,14.4
2001,2001,California,06,2883,34479458,8.4
2001,2001,Colorado,08,728,4425687,16.4
2001,2001,Connecticut,09,286,3432835,8.3
2001,2001,Delaware,10,109,795699,13.7
2001,2001,District of Columbia,11,41,574504,7.1
2001,2001,Florida,12,2333,16356966,14.3
2001,2001,Georgia,13,961,8377038,11.5
2001,2001,Hawaii,15,136,1225948,11.1
2001,2001,Idaho,16,213,1319962,16.1
2001,2001,Illinois,17,1156,12488445,9.3
2001,2001,Indiana,18,731,6127760,11.9
2001,2001,Iowa,19,306,2931997,10.4
2001,2001,Kansas,20,297,2702162,11
2001,2001,Kentucky,21,499,4068132,12.3
2001,2001,Louisiana,22,503,4477875,11.2
2001,2001,Maine,23,162,1285692,12.6
2001,2001,Maryland,24,468,5374691,8.7
2001,2001,Massachusetts,25,428,6397634,6.7
2001,2001,Michigan,26,1081,9991120,10.8
2001,2001,Minnesota,27,490,4982796,9.8
2001,2001,Mississippi,28,334,2852994,11.7
2001,2001,Missouri,29,764,5641142,13.5
2001,2001,Montana,30,178,906961,19.6
2001,2001,Nebraska,31,187,1719836,10.9
2001,2001,Nevada,32,392,2098399,18.7
2001,2001,New Hampshire,33,167,1255517,13.3
2001,2001,New Jersey,34,596,8492671,7
2001,2001,New Mexico,35,365,1831690,19.9
2001,2001,New York,36,1285,19082838,6.7
2001,2001,North Carolina,37,1004,8210122,12.2
2001,2001,North Dakota,38,80,639062,12.5
2001,2001,Ohio,39,1244,11387404,10.9
2001,2001,Oklahoma,40,521,3467100,15
2001,2001,Oregon,41,513,3467937,14.8
2001,2001,Pennsylvania,42,1288,12298970,10.5
2001,2001,Rhode Island,44,89,1057142,8.4
2001,2001,South Carolina,45,473,4064995,11.6
2001,2001,South Dakota,46,106,757972,14
2001,2001,Tennessee,47,720,5750789,12.5
2001,2001,Texas,48,2255,21319622,10.6
2001,2001,Utah,49,321,2283715,14.1
2001,2001,Vermont,50,75,612223,12.3
2001,2001,Virginia,51,801,7198362,11.1
2001,2001,Washington,53,717,5985722,12
2001,2001,West Virginia,54,288,1801481,16
2001,2001,Wisconsin,55,654,5406835,12.1
2001,2001,Wyoming,56,85,494657,17.2
2002,2002,Alabama,01,527,4480089,11.8
2002,2002,Alaska,02,132,642337,20.5
2002,2002,Arizona,04,894,5396255,16.6
2002,2002,Arkansas,05,381,2705927,14.1
2002,2002,California,06,3308,34871843,9.5
2002,2002,Colorado,08,731,4490406,16.3
2002,2002,Connecticut,09,261,3458749,7.5
2002,2002,Delaware,10,74,806169,9.2
2002,2002,District of Columbia,11,32,573158,5.6
2002,2002,Florida,12,2372,16689370,14.2
2002,2002,Georgia,13,931,8508256,10.9
2002,2002,Hawaii,15,120,1239613,9.7
2002,2002,Idaho,16,203,1340372,15.1
2002,2002,Illinois,17,1174,12525556,9.4
2002,2002,Indiana,18,750,6155967,12.2
2002,2002,Iowa,19,318,2934234,10.8
2002,2002,Kansas,20,350,2713535,12.9
2002,2002,Kentucky,21,546,4089875,13.4
2002,2002,Louisiana,22,514,4497267,11.4
2002,2002,Maine,23,167,1295960,12.9
2002,2002,Maryland,24,483,5440389,8.9
2002,2002,Massachusetts,25,441,6417206,6.9
2002,2002,Michigan,26,1128,10015710,11.3
2002,2002,Minnesota,27,503,5018935,10
2002,2002,Mississippi,28,350,2858681,12.2
2002,2002,Missouri,29,704,5674825,12.4
2002,2002,Montana,30,184,911667,20.2
2002,2002,Nebraska,31,201,1728292,11.6
2002,2002,Nevada,32,426,2173791,19.6
2002,2002,New Hampshire,33,134,1269089,10.6
2002,2002,New Jersey,34,561,8552643,6.6
2002,2002,New Mexico,35,350,1855309,18.9
