"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"< 1 year"	"1"	0	28712	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"1-4 years"	"1-4"	0	115715	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"5-9 years"	"5-9"	0	153779	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"10-14 years"	"10-14"	0	154380	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"20-24 years"	"20-24"	10	154634	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"30-34 years"	"30-34"	12	153099	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"40-44 years"	"40-44"	15	176290	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"50-54 years"	"50-54"	10	141883	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"90-94 years"	"90-94"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Alabama"	"01"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"< 1 year"	"1"	0	30075	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"1-4 years"	"1-4"	0	120438	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"5-9 years"	"5-9"	0	161970	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"15-19 years"	"15-19"	30	166099	18.1
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"20-24 years"	"20-24"	46	151548	30.4
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"25-29 years"	"25-29"	35	151877	23.0
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"30-34 years"	"30-34"	34	148196	22.9
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"35-39 years"	"35-39"	44	167921	26.2
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"40-44 years"	"40-44"	54	167710	32.2
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"45-49 years"	"45-49"	36	150447	23.9
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"50-54 years"	"50-54"	38	133876	28.4
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"55-59 years"	"55-59"	28	105366	26.6
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"60-64 years "	"60-64"	28	88690	31.6
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"65-69 years"	"65-69"	21	75958	27.6
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"70-74 years"	"70-74"	28	63159	44.3
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"75-79 years"	"75-79"	25	46215	54.1
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"80-84 years"	"80-84"	10	26637	Unreliable
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"95-99 years"	"95-99"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"100+ years"	"100+"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Alabama"	"01"	"Male"	"M"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
