"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2018"	"2018"	"Alabama"	"01"	824	4887871	16.9
	"2018"	"2018"	"Alaska"	"02"	186	737438	25.2
	"2018"	"2018"	"Arizona"	"04"	1454	7171646	20.3
	"2018"	"2018"	"Arkansas"	"05"	556	3013825	18.4
	"2018"	"2018"	"California"	"06"	4548	39557045	11.5
	"2018"	"2018"	"Colorado"	"08"	1293	5695564	22.7
	"2018"	"2018"	"Connecticut"	"09"	421	3572665	11.8
	"2018"	"2018"	"Delaware"	"10"	114	967171	11.8
	"2018"	"2018"	"District of Columbia"	"11"	57	702455	8.1
	"2018"	"2018"	"Florida"	"12"	3594	21299325	16.9
	"2018"	"2018"	"Georgia"	"13"	1576	10519475	15.0
	"2018"	"2018"	"Hawaii"	"15"	176	1420491	12.4
	"2018"	"2018"	"Idaho"	"16"	420	1754208	23.9
	"2018"	"2018"	"Illinois"	"17"	1499	12741080	11.8
	"2018"	"2018"	"Indiana"	"18"	1084	6691878	16.2
	"2018"	"2018"	"Iowa"	"19"	490	3156145	15.5
	"2018"	"2018"	"Kansas"	"20"	566	2911505	19.4
	"2018"	"2018"	"Kentucky"	"21"	805	4468402	18.0
	"2018"	"2018"	"Louisiana"	"22"	730	4659978	15.7
	"2018"	"2018"	"Maine"	"23"	271	1338404	20.2
	"2018"	"2018"	"Maryland"	"24"	665	6042718	11.0
	"2018"	"2018"	"Massachusetts"	"25"	746	6902149	10.8
	"2018"	"2018"	"Michigan"	"26"	1558	9995915	15.6
	"2018"	"2018"	"Minnesota"	"27"	745	5611179	13.3
	"2018"	"2018"	"Mississippi"	"28"	424	2986530	14.2
	"2018"	"2018"	"Missouri"	"29"	1240	6126452	20.2
	"2018"	"2018"	"Montana"	"30"	265	1062305	24.9
	"2018"	"2018"	"Nebraska"	"31"	271	1929268	14.0
	"2018"	"2018"	"Nevada"	"32"	660	3034392	21.8
	"2018"	"2018"	"New Hampshire"	"33"	279	1356458	20.6
	"2018"	"2018"	"New Jersey"	"34"	784	8908520	8.8
	"2018"	"2018"	"New Mexico"	"35"	543	2095428	25.9
	"2018"	"2018"	"New York"	"36"	1746	19542209	8.9
	"2018"	"2018"	"North Carolina"	"37"	1509	10383620	14.5
	"2018"	"2018"	"North Dakota"	"38"	147	760077	19.3
	"2018"	"2018"	"Ohio"	"39"	1861	11689442	15.9
	"2018"	"2018"	"Oklahoma"	"40"	805	3943079	20.4
	"2018"	"2018"	"Oregon"	"41"	846	4190713	20.2
	"2018"	"2018"	"Pennsylvania"	"42"	2025	12807060	15.8
	"2018"	"2018"	"Rhode Island"	"44"	106	1057315	10.0
	"2018"	"2018"	"South Carolina"	"45"	815	5084127	16.0
	"2018"	"2018"	"South Dakota"	"46"	169	882235	19.2
	"2018"	"2018"	"Tennessee"	"47"	1169	6770010	17.3
	"2018"	"2018"	"Texas"	"48"	3973	28701845	13.8
	"2018"	"2018"	"Utah"	"49"	667	3161105	21.1
	"2018"	"2018"	"Vermont"	"50"	128	626299	20.4
	"2018"	"2018"	"Virginia"	"51"	1254	8517685	14.7
	"2018"	"2018"	"Washington"	"53"	1266	7535591	16.8
	"2018"	"2018"	"West Virginia"	"54"	396	1805832	21.9
	"2018"	"2018"	"Wisconsin"	"55"	897	5813568	15.4
	"2018"	"2018"	"Wyoming"	"56"	148	577737	25.6
	"2019"	"2019"	"Alabama"	"01"	806	4903185	16.4
	"2019"	"2019"	"Alaska"	"02"	212	731545	29.0
	"2019"	"2019"	"Arizona"	"04"	1431	7278717	19.7
	"2019"	"2019"	"Arkansas"	"05"	551	3017804	18.3
	"2019"	"2019"	"California"	"06"	4504	39512223	11.4
	"2019"	"2019"	"Colorado"	"08"	1323	5758736	23.0
